time,src_mac,ip_saddr,dest_mac,ip_daddr,len
2024/4/21 19:56,50:28:4A:E6:1D:AB,36.129.32.58,6C:26:36:6E:33:AB,112.81.121.169,74
2024/4/21 19:56,50:28:4A:E6:1D:AB,0.0.0.0,6C:26:36:6E:33:AB,201.19.77.179,86
2024/4/21 19:56,6C:26:36:6E:33:AB,0.0.0.0,50:28:4A:E6:1D:AB,110.38.54.255,86
2024/4/21 19:56,50:28:4A:E6:1D:AB,36.129.32.58,6C:26:36:6E:33:AB,112.81.121.169,90
2024/4/21 19:56,6C:26:36:6E:33:AB,0.0.0.0,50:28:4A:E6:1D:AB,0.0.0.0,293
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,222.138.4.69,66
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,66
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,222.138.4.69,54
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,222.138.4.69,2125
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,318
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,222.138.4.69,134
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,222.138.4.69,8005
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,325
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,115
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,222.138.4.69,54
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,85
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,222.138.4.69,85
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1349
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
